Drug,Concentration_uM,Viability_percentage
Cabozantinib,1,84.15327741
Onalespib,1,50.16351486
Imatinib,1,93.26034409
Binimetinib,1,84.8002275
Nilotinib,1,104.4575572
PD0325901,1,86.79084317
Ketotifen,1,99.72984502
Everolimus,1,79.27626902
Digoxin,1,38.61794398
Fimepinostat,1,70.31849851
Copanlisib,1,76.29034551
PD0325901,10,76.83776482
Rapamycin,1,84.99928907
Trametinib,1,86.29318925
Selumetinib,10,91.12043225
Selumetinib,1,94.00682497
Trametinib,10,100.7749182
Linsitinib,1,102.7655339
Binimetinib,10,115.605005
Staurosporine,10,6.295322053
DMSO,0,100
