Drug,Concentration_uM,Viability_percentage
Digoxin,1,31.67053364
Binimetinib,10,76.88100762
Mirdametinib,1,72.60523699
Rapamycin,1,71.41199867
Selumetinib,1,83.11236327
Onalespib,1,41.51474975
Binimetinib,1,85.13423931
Selumetinib,10,80.84189592
Cabozantinib,1,92.39310573
Trametinib,10,82.20086178
Imatinib,1,100.1657275
Fimepinostat,1,60.29168048
Copanlisib,1,66.92078223
Linsitinib,1,77.51077229
Mirdametinib,10,83.92442824
Everolimus,1,84.18959231
Trametinib,1,86.34405038
Ketotifen,1,119.1415313
Nilotinib,1,136.8080875
Staurosporine,10,5.046403712
DMSO,0,100
