Drug,Concentration_uM,Viability_percentage
Vistusertib,1,66.41373598
Mirdametinib,10,90.78098316
Imatinib,1,98.76159408
Copanlisib,1,59.18987186
Trabectedin,1,65.26838946
Onalespib,1,65.75516173
Sapanisertib,1,69.08075716
Digoxin,1,86.46139057
Fimepinostat,1,86.51047685
Everolimus,1,87.60673709
ARV-825,1,87.90125477
Binimetinib,1,92.58899445
Linsitinib,1,93.71388835
Cabozantinib,1,99.16246536
Panobinostat,1,107.0162701
Selumetinib,1,108.5134016
Selumetinib,10,108.7833761
Mirdametinib,1,109.7569207
Binimetinib,10,113.50384
Rapamycin,1,113.9088018
Ketotifen,1,114.1337806
Trametinib,1,117.3407508
Trametinib,10,118.0525019
Nilotinib,1,119.0342275
Staurosporine,10,4.276642089
DMSO,0,100
