Drug,Concentration_uM,Viability_percentage
Linsitinib,1,65.008726
Nilotinib,1,90.40139616
Sapanisertib,1,58.46422339
Imatinib,1,93.45549738
Cabozantinib,1,88.13263525
Digoxin,1,50.95986038
Onalespib,1,56.54450262
Trabectedin,1,61.16928447
Copanlisib,1,69.28446771
Fimepinostat,1,69.98254799
Vistusertib,1,78.44677138
ARV-825,1,79.31937173
Everolimus,1,83.33333333
Rapamycin,1,84.991274
Panobinostat,1,85.2530541
Selumetinib,1,95.02617801
Binimetinib,1,95.20069808
Selumetinib,10,97.03315881
Binimetinib,10,99.38917976
Trametinib,1,104.7993019
Ketotifen,1,112.3036649
Mirdametinib,10,112.8272251
Trametinib,10,117.539267
Mirdametinib,1,121.8150087
Staurosporine,10,6.588132635
DMSO,0,100
