Drug,Concentration_uM,Viability_percentage
Copanlisib,1,34.60582787
Rapamycin,1,59.09193585
Nilotinib,1,77.0725096
Cabozantinib,1,77.70499209
Imatinib,1,85.65620059
Binimetinib,1,80.505986
Mirdametinib,1,80.77704992
Linsitinib,1,64.69392365
Everolimus,1,75.26541676
Digoxin,1,41.38242602
Onalespib,1,56.56200587
Fimepinostat,1,72.5547775
Binimetinib,10,96.40840298
Ketotifen,1,108.4255704
Selumetinib,1,109.4194714
Trametinib,1,120.9848656
Mirdametinib,10,123.0630224
Selumetinib,10,124.0569234
Trametinib,10,135.3512537
Staurosporine,10,7.680144567
DMSO,0,100
