Drug,Concentration_uM,Viability_percentage
Cabozantinib,1,68.18181818
Rapamycin,1,53.84615385
Copanlisib,1,32.16783217
Mirdametinib,1,64.1025641
Trametinib,1,58.74125874
Selumetinib,1,68.53146853
Nilotinib,1,86.71328671
Everolimus,1,62.58741259
Trametinib,10,63.28671329
Onalespib,1,49.65034965
Binimetinib,1,78.32167832
Fimepinostat,1,44.05594406
Imatinib,1,102.4475524
Linsitinib,1,79.37062937
Digoxin,1,39.51048951
Binimetinib,10,88.81118881
Selumetinib,10,95.45454545
Mirdametinib,10,101.3986014
Ketotifen,1,104.1958042
Staurosporine,10,2.097902098
DMSO,0,100
